1052「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
             雙主修           主系,中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,客社,生科,生醫,系(所)總合
中國文學系,,2,1,,,,,,,,,,,1,3,,,,,,,,,7
英美語文學系,,,4,,,,,,,,,,2,3,5,,,,,,,,,14
法國語文學系,1,,,,,,,,,,,,3,3,4,,,,,1,,,,12
數學系,,,,,,,,,,,,,,2,,2,13,,1,,,,,18
物理學系,,,,,1,,,,,,,,,,2,,,,,,,,,3
化學學系,,,,,,,,,,,1,,,,,,,,,,,,,1
理學院學士班,,,,1,,,,,,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,2,,,,,,2,,,,,,,,4
機械工程學系,,,,,,,,,,1,,,,,,,1,,,,,,1,3
企業管理學系,3,,,,,,,,,,,,1,22,,,2,,,,,,,28
資訊管理學系,,,,1,,,,,,,,,,8,,,18,,,,,,,27
財務金融學系,,,,,,,,,,,,,2,,,,1,,,,,,,3
經濟學系,2,,,1,,1,,,,,,,5,6,,,,,,,,,1,16
電機工程學系,,,,,,,,,,,,,,1,,,1,,,,,,,2
通訊工程學系,,,,,,,,,,,,,1,,,2,,,,,,,,3
大氣科學學系,,,,,,,,,,1,,,,,,,,,4,1,,,,6
地球科學學系,,,,,,,,,,,,,,,,,2,,1,,,,,3
客家語文暨社會科學學系,1,,,,,,,,,,,1,1,,2,,,,,1,,,,6
生命科學系,,,,1,,,,,,,,,,,,2,,,1,,,,,4
總合,7,2,5,4,1,1,,,,4,1,1,15,46,16,8,38,,7,3,,,2,161
